F01,F02,F03,F04,F05,F06,F07,F08,F09,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F28.1,F29,Target
29.5,32.5,26.2,44.1,26.0,16.2,529.419,9.603,0.277,7640.0,70.563,94.67575059,90.93983,11.0,34.40000153,2.0,58.4,15.0,7.2,0.7,10.7,4.9,4.0,87.0,68.25,92.0,97.0,81.0,83.0,90.0,51.9
30.6,33.6,27.5,57.9,27.0,15.8,5392.58,131.09,4.273,920.0,67.714,99.24140488,95.28759,5.3,64.90000153,31.5,60.1,26.2,2.2,0.3,17.5,3.3,10.7,87.0,76.1,90.0,99.0,85.0,93.0,94.0,70.3
33.2,34.8,31.6,22.9,26.3,17.5,24451.285,347.836,11.75,4730.0,68.846,99.99826243,95.50092000000001,5.7,18.4,65.1,31.4,36.0,18.8,3.9,32.4,5.2,6.6,100.0,24.5,98.0,99.0,97.0,80.0,86.0,45.0
7.7,8.2,7.2,16.5,6.4,4.0,1870.041,21.315,0.158,80440.0,78.371,96.28373979,96.15812,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,20.2
35.9,40.0,31.6,48.4,29.4,19.6,756.04,13.466,0.409,2900.0,69.927,89.84058250999999,84.07951,14.3,43.09999847,33.2,80.8,49.3,10.5,1.6,18.2,5.3,6.2,87.0,10.5,94.0,98.0,93.0,84.0,88.0,63.0
4.3,4.7,3.8,8.5,3.5,2.3,10754.056,122.628,0.531,46160.0,80.009,89.84058250999999,99.03902,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,10.0
12.1,13.2,10.9,18.5,10.6,6.5,7446.135,75.042,0.935,6550.0,73.371,98.35244811,99.50673,8.8,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,13.6,87.0,100.0,100.0,100.0,100.0,100.0,100.0,22.2
25.4,28.8,21.8,40.2,20.2,12.2,94852.03,2357.583,57.293,2210.0,68.749,95.4200993,88.70735,21.2,53.5,34.0,90.1,34.2,21.6,3.05,32.3,6.9,3.3,91.0,44.5,92.0,93.0,92.0,74.0,79.0,57.0
54.1,57.0,51.2,95.0,38.1,21.1,10942.95,449.233,22.813,570.0,55.442,71.05228,98.74703,7.1,71.3,84.9,79.1,83.5,11.4,2.3,44.2,2.8,6.7,76.0,99.3,65.0,76.0,63.0,55.0,52.0,156.3
3.1,3.4,2.7,9.5,2.6,1.4,1116.564,12.928,0.041,29450.0,79.591,98.27978,99.04123,9.25,51.5,34.0,66.44999999999999,37.2,11.75,3.05,28.5,5.2,6.6,87.0,68.25,100.0,100.0,100.0,100.0,100.0,11.0
21.4,22.7,20.0,42.9,18.2,10.7,7754.687,204.512,4.34,1970.0,73.126,84.75536182,95.75431,10.2,78.59999847,29.7,83.5,47.5,8.1,1.2,29.4,1.3,5.8,87.0,68.25,87.0,95.0,79.0,77.0,85.0,55.0
15.0,16.8,13.1,25.7,12.9,8.4,29436.891,598.472,8.945,11920.0,74.402,95.51199392,94.90626,8.2,51.5,34.0,66.44999999999999,37.2,3.7,3.05,15.6,5.0,6.4,87.0,68.25,94.0,98.0,90.0,85.0,92.0,30.9
54.1,57.2,50.8,135.0,45.8,23.8,1153.834,44.488,2.446,2730.0,62.475,58.3089828,85.91943,12.0,81.7,51.5,82.2,33.4,44.7,15.4,58.1,18.6,5.8,59.0,59.9,69.0,91.0,60.0,47.0,73.0,180.0
30.7,34.8,26.4,76.1,25.5,11.7,2800.114,65.221,2.188,2320.0,68.498,97.40807,99.05471,4.7,71.4,59.3,77.9,66.0,4.7,2.4,15.9,2.3,14.2,85.0,69.9,82.0,100.0,53.0,51.0,64.0,106.5
17.7,19.5,15.8,27.8,15.4,11.2,46927.125,910.296,16.256,6110.0,73.703,93.37232869,91.51076,6.0,56.6,42.8,85.6,32.5,3.4,0.6,13.2,0.9,4.8,87.0,68.25,92.0,99.0,72.0,77.0,82.0,34.3
